id,city,lat,long,price_cleaned,bedrooms_num,bathrooms_num,luxury_ratio,premium_amenities,has_parking,has_view,has_balcony,neighbor_count,avg_area_rating,avg_location_rating,area_demand_volume,predicted_roi
6689,Gloucestershire,51.813442,-2.6113422,585000,5,2.0,0.4,0,0,0,0,8,4.9437500000000005,4.912500083446503,327,0.3768837164852764
14204,Fife,56.073624,-3.452007,250000,3,1.0,0.3333333333333333,0,0,0,0,24,4.633749999999999,4.637500087420146,1397,0.3768831843152203
5152,Sheffield,53.32904,-1.3659334,160000,3,1.0,0.3333333333333333,0,0,1,0,4,4.7875,4.7500001192092896,283,0.37688052023821006
5196,Sheffield,53.35063,-1.2549982,575000,4,2.0,0.5,0,0,0,0,0,0.0,0.0,0,0.3768716576256733
5191,Sheffield,53.362625,-1.2874395,360000,4,2.0,0.5,0,0,0,0,2,2.315,2.4000000953674316,8,0.3768716576256733
5246,Sheffield,53.35063,-1.2549982,700000,4,2.0,0.5,0,0,0,0,0,0.0,0.0,0,0.3768716576256733
10995,Gwynedd,52.867065,-4.497196,850000,4,3.0,0.75,0,0,0,0,30,3.6793333333333336,3.7566666920979817,177,0.376818285964515
19660,Llanbedrog,52.86773,-4.497605,850000,4,3.0,0.75,0,0,0,0,30,3.6793333333333336,3.7566666920979817,177,0.376818285964515
15088,Shropshire,52.868084,-3.0747068,12500000,7,7.0,1.0,0,0,0,0,2,4.955,4.849999904632568,23,0.3768106498213263
23091,Paignton,50.432705,-3.5599148,450000,4,2.0,0.5,0,0,0,0,85,4.263529411764706,4.282352958006017,2960,0.3767340169464498
19017,Deganwy,53.28883,-3.815535,475000,4,1.0,0.25,0,1,0,0,79,4.238354430379746,4.268354482288602,2339,0.37670978051398796
18298,Conwy,53.28883,-3.815535,475000,4,1.0,0.25,0,1,0,0,79,4.238354430379746,4.268354482288602,2339,0.37670978051398796
20180,North Lincolnshire,53.65562,-0.6034576,320000,5,4.0,0.8,0,0,0,0,0,0.0,0.0,0,0.37670829645939957
2714,North Somerset,51.35624,-2.9209046,240000,2,1.0,0.5,0,0,0,0,36,4.651111111111111,4.647222267256843,2875,0.3766648504609841
12321,Somerset,51.356197,-2.9197001,250000,2,1.0,0.5,0,0,0,0,36,4.651111111111111,4.647222267256843,2875,0.3766648504609841
2528,North Somerset,51.347446,-2.9294348,140000,2,1.0,0.5,0,0,0,0,36,4.651111111111111,4.647222267256843,2875,0.3766648504609841
2273,North Somerset,51.3564,-2.9199674,250000,2,1.0,0.5,0,0,0,0,36,4.651111111111111,4.647222267256843,2875,0.3766648504609841
8239,Hampshire,50.8527,-1.2839142,275000,2,1.0,0.5,0,0,0,0,31,4.669032258064515,4.683871038498417,2356,0.37666160568117285
14712,Cambridgeshire,52.497814,0.1778063,290000,3,3.0,1.0,0,0,0,0,0,0.0,0.0,0,0.3765995392643002
12406,Somerset,51.193794,-3.4679818,369950,3,1.0,0.3333333333333333,0,0,0,0,23,4.524347826086957,4.60000002902487,1013,0.3765554520563614
9916,Isle of Wight,50.659824,-1.1622176,270000,3,2.0,0.6666666666666666,0,0,0,0,82,4.386951219512195,4.37439029391219,2698,0.37648697642764906
17661,Margate,51.388493,1.403637,100000,2,1.0,0.5,0,0,0,0,151,4.650264900662251,4.640397416045334,11135,0.37640537717401834
23672,Coventry,52.400696,-1.5849919,65000,2,1.0,0.5,0,0,0,0,64,4.42203125,4.368750028312206,2028,0.37638477501503
23644,Coventry,52.400696,-1.5849919,110000,2,1.0,0.5,0,0,0,0,64,4.42203125,4.368750028312206,2028,0.37638477501503
21454,Westmorland and Furness,54.106907,-3.229611,120000,2,1.0,0.5,0,0,0,0,21,4.06047619047619,4.038095201764788,587,0.3763845893870217
19612,Staithes,54.558292,-0.7929968,350000,3,1.0,0.3333333333333333,0,0,0,0,24,4.53625,4.62500003973643,1145,0.3762761941446697
11869,Pembrokeshire,51.81338,-4.9713397,250000,3,1.0,0.3333333333333333,0,0,0,0,16,4.561249999999999,4.537500113248825,1911,0.3762713740658039
22798,Pevensey Bay,50.819,0.3701741,850000,4,2.0,0.5,0,0,0,0,16,4.880000000000001,4.893750071525574,807,0.3762419461548126
22822,Pevensey Bay,50.820988,0.3668323,300000,4,2.0,0.5,0,0,0,0,16,4.880000000000001,4.893750071525574,807,0.3762419461548126
22850,Pevensey Bay,50.820988,0.3668323,300000,4,2.0,0.5,0,0,0,0,16,4.880000000000001,4.893750071525574,807,0.3762419461548126
22820,Pevensey Bay,50.819,0.3701741,675000,4,2.0,0.5,0,0,0,0,16,4.880000000000001,4.893750071525574,807,0.3762419461548126
20366,Ulverston,54.191013,-3.0858603,270000,3,1.0,0.3333333333333333,0,0,0,1,36,4.4638888888888895,4.505555616484748,1587,0.37614854661352803
22131,Broadstairs,51.36382,1.4442718,285000,2,1.0,0.5,0,1,0,0,145,4.48206896551724,4.478620746217925,8711,0.37613782305974997
9222,Cardiff,51.508575,-3.232947,350000,4,1.0,0.25,0,0,0,1,85,4.260941176470589,4.278823572046616,2893,0.37613517252518763
20503,Chichester,50.83744,-0.7597946,350000,2,1.0,0.5,0,1,0,0,74,4.548648648648649,4.563513549598488,4086,0.376107759251212
20589,Chichester,50.835983,-0.7572671,130000,2,1.0,0.5,0,1,0,0,74,4.548648648648649,4.563513549598488,4086,0.376107759251212
13309,Surrey,51.329845,-0.5362277,275000,1,1.0,1.0,0,0,0,0,38,4.313421052631579,4.336842147927535,1976,0.3760829271114953
21876,Broadstairs,51.36304,1.4239944,500000,2,1.0,0.5,0,0,0,0,182,4.563516483516484,4.5659341261937065,12203,0.376055044186636
